Target,Right Motor,Left Motor,Time (ms)
50,49.56,49.25,0.64
50,49.41,49.84,0.641
50,48.79,50.48,0.642
50,49.1,49.56,0.643
50,49.64,49.33,0.644
50,49.37,49.8,0.645
50,49.21,49.6,0.646
50,49.68,49.33,0.647
50,49.41,49.6,0.648
50,49.29,50.48,0.649
50,49.14,49.56,0.65
50,49.6,49.25,0.651
50,49.33,49.72,0.652
50,48.75,49.52,0.653
50,49.1,49.21,0.654
50,49.45,49.64,0.655
50,49.21,50.44,0.656
50,49.25,49.49,0.657
50,49.72,49.21,0.658
50,49.41,49.72,0.659
50,48.98,49.52,0.66
50,49.17,49.21,0.661
50,49.68,49.68,0.662
50,49.25,49.84,0.663
50,49.21,49.56,0.664
50,49.64,49.21,0.665
50,49.41,49.72,0.666
50,48.79,50.48,0.667
50,49.1,49.14,0.668
50,49.64,49.64,0.669
50,49.37,49.76,0.67
50,49.17,49.49,0.671
50,49.68,49.25,0.672
50,49.49,49.72,0.673
50,49.14,50.36,0.674
50,49.1,49.45,0.675
50,49.64,49.64,0.676
50,49.29,49.72,0.677
50,48.79,49.45,0.678
50,49.68,49.21,0.679
50,49.45,49.64,0.68
50,49.1,50.28,0.681
50,49.14,49.45,0.682
50,49.56,49.56,0.683
50,49.25,49.64,0.684
50,48.75,49.41,0.685
50,49.02,49.02,0.686
50,49.37,49.64,0.687
50,49.06,50.2,0.688
50,49.06,49.52,0.689
50,49.68,49.25,0.69
50,49.17,49.64,0.691
50,48.71,49.49,0.692
50,49.02,49.06,0.693
50,49.56,49.64,0.694
50,49.02,50.28,0.695
50,49.06,49.52,0.696
50,49.56,49.33,0.697
50,49.33,49.72,0.698
50,49.02,49.56,0.699
50,49.02,49.25,0.7
50,49.49,49.68,0.701
50,49.14,49.72,0.702
50,48.71,49.56,0.703
50,49.56,49.29,0.704
50,49.33,49.84,0.705
50,49.02,49.64,0.706
50,49.06,49.25,0.707
50,49.52,49.72,0.708
50,49.17,49.84,0.709
50,48.79,49.64,0.71
50,49.1,49.33,0.711
50,49.41,49.88,0.712
50,49.14,50.61,0.713
50,49.14,49.33,0.714
50,49.68,49.8,0.715
50,49.21,49.92,0.716
50,48.79,49.68,0.717
50,49.14,49.37,0.718
50,49.64,50,0.719
50,49.14,50.57,0.72
50,49.14,49.29,0.721
50,49.68,49.84,0.722
50,49.45,49.92,0.723
50,48.94,49.68,0.724
50,49.25,49.45,0.725
50,49.72,49.92,0.726
50,49.37,50.57,0.727
50,49.29,49.68,0.728
50,49.8,49.92,0.729
50,49.52,49.96,0.73
50,49.37,49.64,0.731
50,49.33,49.49,0.732
50,49.76,49.92,0.733
50,49.45,50.48,0.734
50,49.02,49.64,0.735
50,49.88,49.84,0.736
50,49.56,49.92,0.737
50,49.45,49.56,0.738
50,49.41,49.29,0.739
50,49.84,49.92,0.74
50,49.49,50.36,0.741
50,49.06,49.6,0.742
50,49.37,49.37,0.743
50,49.68,49.8,0.744
50,49.49,49.6,0.745
50,49.49,49.25,0.746
50,49.96,49.88,0.747
50,49.6,50.48,0.748
50,49.17,49.56,0.749
50,49.52,49.33,0.75
50,49.72,49.8,0.751
50,49.52,49.68,0.752
50,49.52,49.25,0.753
50,49.96,49.72,0.754
50,49.64,50.57,0.755
50,49.14,49.68,0.756
50,49.45,49.37,0.757
50,50.04,49.84,0.758
50,49.6,49.72,0.759
50,49.56,49.37,0.76
50,50.08,49.88,0.761
50,49.88,50.65,0.762
50,49.21,49.76,0.763
50,49.49,49.41,0.764
50,50.08,49.92,0.765
50,49.68,49.72,0.766
50,49.52,49.33,0.767
50,50.12,49.92,0.768
50,49.84,50,0.769
50,49.25,49.68,0.77
50,49.49,49.41,0.771
50,50.08,49.84,0.772
50,49.76,49.68,0.773
50,49.6,49.21,0.774
50,50.16,49.88,0.775
50,49.88,49.96,0.776
50,49.56,49.72,0.777
50,49.6,49.56,0.778
50,50.08,49.88,0.779
50,49.72,50.57,0.78
50,49.29,49.37,0.781
50,50.16,49.96,0.782
50,49.88,50.04,0.783
50,49.6,49.8,0.784
50,49.6,49.6,0.785
50,50.04,50,0.786
50,49.76,50.65,0.787
50,49.33,49.41,0.788
50,50.04,50,0.789
50,49.8,50.08,0.79
50,49.68,49.8,0.791
50,49.64,49.45,0.792
50,50,49.96,0.793
50,49.72,50.69,0.794
50,49.29,49.37,0.795
50,49.6,49.88,0.796
50,49.88,50,0.797
50,49.68,49.8,0.798
50,49.64,49.45,0.799
50,50.2,50,0.8
50,49.72,50.73,0.801
50,49.25,49.8,0.802
50,49.64,49.88,0.803
50,49.88,50,0.804
50,49.68,49.76,0.805
50,49.64,49.49,0.806
50,50.16,50.04,0.807
50,49.84,50.73,0.808
50,49.29,49.8,0.809
50,49.52,49.96,0.81
50,50.12,50.04,0.811
50,49.6,49.8,0.812
50,49.52,49.37,0.813
50,50.12,50,0.814
50,49.76,50.65,0.815
50,49.29,49.84,0.816
50,49.52,50,0.817
50,50.12,50.04,0.818
50,49.6,49.84,0.819
50,49.6,49.41,0.82
50,50.16,50.08,0.821
50,49.92,50.69,0.822
50,49.33,49.88,0.823
50,49.6,49.68,0.824
50,50.08,50.16,0.825
50,49.76,49.88,0.826
50,49.64,49.6,0.827
50,50.16,50.24,0.828
50,49.88,50.85,0.829
50,49.33,49.96,0.83
50,49.64,49.72,0.831
50,50.16,50.2,0.832
50,49.8,50.04,0.833
50,49.72,49.68,0.834
50,50.24,50.28,0.835
50,50,50.98,0.836
50,49.76,50,0.837
50,49.76,50.16,0.838
50,50.16,50.24,0.839
50,49.8,49.96,0.84
50,49.76,49.6,0.841
50,50.2,50.24,0.842
50,49.96,50.94,0.843
50,49.8,50.04,0.844
50,49.72,50.2,0.845
50,50.36,50.32,0.846
50,49.96,49.96,0.847
50,49.84,49.56,0.848
50,50.36,50.2,0.849
50,50.08,50.85,0.85
50,49.84,50,0.851
50,49.76,50.12,0.852
50,50.32,50.2,0.853
50,50,49.96,0.854
50,49.8,49.56,0.855
50,50.32,50.12,0.856
50,50.12,50.73,0.857
50,49.76,49.88,0.858
50,49.8,50,0.859
50,50.32,50.08,0.86
50,49.96,49.88,0.861
50,49.76,49.49,0.862
50,50.32,50.08,0.863
50,50.04,50.73,0.864
50,49.72,49.8,0.865
50,49.72,49.96,0.866
50,50.16,50.04,0.867
50,49.88,49.84,0.868
50,49.41,49.52,0.869
50,50.24,50.08,0.87
50,49.96,50.77,0.871
50,49.76,49.88,0.872
50,49.76,50,0.873
50,50.12,50.08,0.874
50,49.88,49.72,0.875
50,49.45,49.41,0.876
50,50.24,50.04,0.877
50,49.96,50.77,0.878
50,49.84,49.8,0.879
50,49.72,50,0.88
50,50.2,50.16,0.881
50,49.88,49.8,0.882
50,49.41,49.41,0.883
50,50.2,50.04,0.884
50,50,50.73,0.885
50,49.8,49.84,0.886
50,49.68,50,0.887
50,50.24,50.08,0.888
50,49.88,49.84,0.889
50,49.37,49.41,0.89
50,50.24,50.24,0.891
50,49.76,50.65,0.892
50,49.72,49.72,0.893
50,50,49.41,0.894
50,50.2,50.28,0.895
50,49.88,49.8,0.896
50,49.33,49.45,0.897
50,50.2,50.08,0.898
50,49.96,50.65,0.899
50,49.64,49.88,0.9
50,49.68,49.52,0.901
50,50.16,50.04,0.902
50,49.84,49.92,0.903
50,49.37,49.52,0.904
50,50.24,50.12,0.905
50,49.96,50.85,0.906
50,49.64,49.92,0.907
50,49.68,49.68,0.908
50,50.2,50.24,0.909
50,49.72,49.96,0.91
50,49.41,49.64,0.911
50,49.68,50.28,0.912
50,49.96,50.98,0.913
50,49.76,50.08,0.914
50,49.76,50.2,0.915
50,50.24,50.32,0.916
50,49.92,50,0.917
50,49.45,49.6,0.918
50,49.76,50.28,0.919
50,50.04,50.98,0.92
50,49.88,50.08,0.921
50,49.76,50.32,0.922
50,50.32,50.36,0.923
50,49.76,50.12,0.924
50,49.41,49.68,0.925
50,49.72,50.32,0.926
50,50.04,50.98,0.927
50,49.88,50.08,0.928
50,49.84,50.28,0.929
50,50.28,50.32,0.93
50,50,50.2,0.931
50,49.45,49.88,0.932
50,49.72,50.4,0.933
50,50.08,51.15,0.934
50,49.76,50.24,0.935
50,49.8,50.32,0.936
50,50.32,50.48,0.937
50,49.96,50.24,0.938
50,49.52,49.92,0.939
50,49.8,50.48,0.94
50,50.12,51.23,0.941
50,49.8,49.92,0.942
50,49.92,50.48,0.943
50,50.32,50.61,0.944
50,50,50.32,0.945
50,49.52,50.12,0.946
50,49.8,50.57,0.947
50,50,51.23,0.948
50,49.76,49.96,0.949
50,49.76,50.57,0.95
50,50.24,50.61,0.951
50,49.92,50.36,0.952
50,49.49,50.16,0.953
50,49.8,50.61,0.954
50,50.08,50.44,0.955
50,49.88,50.04,0.956
50,49.8,50.57,0.957
50,50.24,50.65,0.958
50,49.8,50.53,0.959
50,49.41,50.16,0.96
50,49.68,50.69,0.961
50,50,50.44,0.962
50,49.84,50.12,0.963
50,49.76,50.73,0.964
50,50.28,51.44,0.965
50,49.92,50.53,0.966
50,49.52,50.24,0.967
50,49.72,50.81,0.968
50,50.08,50.48,0.969
50,49.84,50.12,0.97
50,49.8,50.94,0.971
50,50.32,51.36,0.972
50,50.04,50.57,0.973
50,49.52,50.73,0.974
50,49.76,50.77,0.975
50,50.12,50.57,0.976
50,49.84,50.16,0.977
50,49.84,50.77,0.978
50,50.44,51.44,0.979
50,49.96,50.57,0.98
50,49.52,50.69,0.981
50,49.88,50.77,0.982
50,50.08,50.65,0.983
50,49.84,50.2,0.984
50,49.84,50.77,0.985
50,50.4,51.48,0.986
50,50,50.16,0.987
50,49.6,50.69,0.988
50,49.88,50.77,0.989
50,50.12,50.48,0.99
50,49.96,50.24,0.991
50,49.92,50.73,0.992
50,50.44,50.53,0.993
50,50,50.12,0.994
50,49.6,50.81,0.995
50,49.88,50.73,0.996
50,50.2,50.57,0.997
50,50.12,50.24,0.998
50,49.96,50.77,0.999
50,50.44,50.57,1
50,50.08,50.2,1.001
50,49.64,50.65,1.002
