target,right,left,
50,47.97,48.71,
50,48.26,49.29,
50,48.68,49.02,
50,48.34,48.71,
50,48,49.29,
50,48.79,50.04,
50,48.49,49.1,
50,48.3,48.71,
50,48.3,49.06,
50,48.83,49.96,
50,48.41,48.64,
50,48,49.17,
50,48.37,49.33,
50,48.79,49.02,
50,48.49,48.71,
50,48.34,49.17,
50,48.9,49.88,
50,48.52,48.98,
50,48.34,49.14,
50,48.34,49.29,
50,48.87,48.94,
50,48.52,48.56,
50,48.08,49.14,
50,48.49,49.88,
50,48.87,48.98,
50,48.37,48.75,
50,48.37,49.21,
50,48.94,49.02,
50,48.68,48.6,
50,48.37,49.25,
50,48.34,49.37,
50,48.9,49.1,
50,48.6,48.83,
50,48.04,49.29,
50,48.37,50,
50,48.68,49.1,
50,48.49,49.29,
50,48.41,49.37,
50,48.9,49.02,
50,48.71,48.68,
50,48.11,49.29,
50,48.41,50,
50,48.98,49.1,
50,48.68,48.83,
50,48.6,49.37,
50,48.98,49.1,
50,48.79,48.75,
50,48.6,49.37,
50,48.6,49.45,
50,49.1,49.17,
50,48.79,49.06,
50,48.37,49.41,
50,48.56,50,
50,49.06,48.83,
50,48.64,49.37,
50,48.6,49.45,
50,49.02,49.25,
50,48.83,49.06,
50,48.68,49.49,
50,48.6,50.12,
50,49.14,49.29,
50,48.87,49.37,
50,48.34,49.52,
50,49.17,49.29,
50,48.94,48.94,
50,48.75,49.52,
50,48.71,50.16,
50,49.1,49.37,
50,48.83,49.14,
50,48.34,49.6,
50,48.68,49.37,
50,49.21,48.98,
50,48.9,49.56,
50,48.75,50.2,
50,49.21,49.41,
50,48.98,49.14,
50,48.87,49.64,
50,48.79,50.28,
50,49.29,49.1,
50,48.94,49.56,
50,48.45,49.6,
50,48.75,49.49,
50,49.06,49.17,
50,48.94,49.68,
50,48.87,50.36,
50,49.25,49.49,
50,49.02,49.6,
50,48.52,49.76,
50,48.83,49.52,
50,49.37,49.21,
50,49.02,49.76,
50,48.87,50.48,
50,49.25,49.56,
50,49.1,49.25,
50,48.94,49.8,
50,48.83,49.56,
50,49.41,49.25,
50,49.06,49.84,
50,48.49,50.53,
50,48.87,49.6,
50,49.14,49.25,
50,49.02,49.88,
50,48.94,49.56,
50,49.37,49.21,
50,49.02,49.8,
50,48.56,50.53,
50,48.9,49.6,
50,49.41,49.29,
50,49.06,49.76,
50,48.98,49.56,
50,49.45,49.14,
50,49.21,49.72,
50,49.06,49.84,
50,48.98,49.56,
50,49.45,49.41,
50,49.17,49.8,
50,48.83,50.44,
50,49.45,49.25,
50,49.29,49.84,
50,49.14,49.8,
50,49.06,49.6,
50,49.52,49.41,
50,49.21,49.8,
50,48.71,50.4,
50,49.02,49.6,
50,49.6,49.76,
50,49.25,49.8,
50,49.17,49.64,
50,49.56,49.25,
50,49.41,49.84,
50,48.79,50.48,
50,49.1,49.56,
50,49.64,49.33,
50,49.37,49.8,
50,49.21,49.6,
50,49.68,49.33,
50,49.41,49.6,
50,49.29,50.48,
50,49.14,49.56,
50,49.6,49.25,
50,49.33,49.72,
50,48.75,49.52,
50,49.1,49.21,
50,49.45,49.64,
50,49.21,50.44,
50,49.25,49.49,
50,49.72,49.21,
50,49.41,49.72,
50,48.98,49.52,
50,49.17,49.21,
50,49.68,49.68,
50,49.25,49.84,
50,49.21,49.56,
50,49.64,49.21,
50,49.41,49.72,
50,48.79,50.48,
50,49.1,49.14,
50,49.64,49.64,
50,49.37,49.76,
50,49.17,49.49,
50,49.68,49.25,
50,49.49,49.72,
50,49.14,50.36,
50,49.1,49.45,
50,49.64,49.64,
50,49.29,49.72,
50,48.79,49.45,
50,49.68,49.21,
50,49.45,49.64,
50,49.1,50.28,
50,49.14,49.45,
50,49.56,49.56,
50,49.25,49.64,
50,48.75,49.41,
50,49.02,49.02,
50,49.37,49.64,
50,49.06,50.2,
50,49.06,49.52,
50,49.68,49.25,
50,49.17,49.64,
50,48.71,49.49,
50,49.02,49.06,
50,49.56,49.64,
50,49.02,50.28,
50,49.06,49.52,
50,49.56,49.33,
50,49.33,49.72,
50,49.02,49.56,
50,49.02,49.25,
50,49.49,49.68,
50,49.14,49.72,
50,48.71,49.56,
50,49.56,49.29,
50,49.33,49.84,
50,49.02,49.64,
50,49.06,49.25,
50,49.52,49.72,
50,49.17,49.84,
50,48.79,49.64,
50,49.1,49.33,
50,49.41,49.88,
50,49.14,50.61,
50,49.14,49.33,
50,49.68,49.8,
50,49.21,49.92,
50,48.79,49.68,
50,49.14,49.37,
50,49.64,50,
50,49.14,50.57,
50,49.14,49.29,
50,49.68,49.84,
50,49.45,49.92,
50,48.94,49.68,
50,49.25,49.45,
50,49.72,49.92,
50,49.37,50.57,
50,49.29,49.68,
50,49.8,49.92,
50,49.52,49.96,
50,49.37,49.64,
50,49.33,49.49,
50,49.76,49.92,
50,49.45,50.48,
50,49.02,49.64,
50,49.88,49.84,
50,49.56,49.92,
50,49.45,49.56,
50,49.41,49.29,
50,49.84,49.92,
50,49.49,50.36,
50,49.06,49.6,
50,49.37,49.37,
50,49.68,49.8,
50,49.49,49.6,
50,49.49,49.25,
50,49.96,49.88,
50,49.6,50.48,
50,49.17,49.56,
50,49.52,49.33,
50,49.72,49.8,
50,49.52,49.68,
50,49.52,49.25,
50,49.96,49.72,
50,49.64,50.57,
50,49.14,49.68,
50,49.45,49.37,
50,50.04,49.84,
50,49.6,49.72,
50,49.56,49.37,
50,50.08,49.88,
50,49.88,50.65,
50,49.21,49.76,
50,49.49,49.41,
50,50.08,49.92,
50,49.68,49.72,
50,49.52,49.33,
50,50.12,49.92,
50,49.84,50,
50,49.25,49.68,
50,49.49,49.41,
50,50.08,49.84,
50,49.76,49.68,
50,49.6,49.21,
50,50.16,49.88,
50,49.88,49.96,
50,49.56,49.72,
50,49.6,49.56,
50,50.08,49.88,
50,49.72,50.57,
50,49.29,49.37,
50,50.16,49.96,
50,49.88,50.04,
50,49.6,49.8,
50,49.6,49.6,
50,50.04,50,
50,49.76,50.65,
50,49.33,49.41,
50,50.04,50,
50,49.8,50.08,
50,49.68,49.8,
50,49.64,49.45,
50,50,49.96,
50,49.72,50.69,
50,49.29,49.37,
50,49.6,49.88,
50,49.88,50,
50,49.68,49.8,
50,49.64,49.45,
50,50.2,50,
50,49.72,50.73,
50,49.25,49.8,
50,49.64,49.88,
50,49.88,50,
50,49.68,49.76,
50,49.64,49.49,
50,50.16,50.04,
50,49.84,50.73,
